[2025-05-28 10:51:39] [INFO    ] discord.client: logging in using static token
[2025-05-28 10:51:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-28 10:51:39] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-28 10:51:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1376008090968657990', 'username': 'JägerBot', 'avatar': 'a4df51443165ae648cf3ecff0b6ff585', 'discriminator': '6929', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '2446106879f3855349dd1ee0b65aa082', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-28 10:51:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-28 10:51:39] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-28 10:51:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1376008090968657990', 'name': 'JägerBot', 'icon': '1f53ac265ddc181c498d22839e41920c', 'description': '', 'type': None, 'cover_image': '35f9de28031be6ee0498c1776c0edece', 'bot': {'id': '1376008090968657990', 'username': 'JägerBot', 'avatar': 'a4df51443165ae648cf3ecff0b6ff585', 'discriminator': '6929', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '2446106879f3855349dd1ee0b65aa082', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8da3e85d015c5f521b012b1bf0f8a1b3ff2bf68515463ada4391b2bd33fa6d8c', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1376672835724120145', 'username': 'team1376672835724120145', 'avatar': None, 'discriminator': '0000', 'public_flags': 1024, 'flags': 1024, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123806, 'monetization_eligibility_flags': 247526, 'team': {'id': '1376672835724120145', 'icon': None, 'name': 'botdev', 'owner_user_id': '640289470763237376', 'members': [{'user': {'id': '640289470763237376', 'username': 'spoopinatural', 'avatar': '6eeeeb513dd0a8610ac994bf3cdff547', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'SPOOPINATURAL', 'avatar_decoration_data': {'asset': 'a_ccee9031d66bc0f2d7ed0c6178d01784', 'sku_id': '1333278032789635082', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'asset': 'nameplates/nameplates/cityscape/', 'label': None, 'palette': 'violet'}}, 'banner_color': None, 'clan': {'identity_guild_id': '1369249716432404511', 'identity_enabled': True, 'tag': '︻芫═一', 'badge': 'b1dc33d557c4d3c9db80ac12762f5b9f'}, 'primary_guild': {'identity_guild_id': '1369249716432404511', 'identity_enabled': True, 'tag': '︻芫═一', 'badge': 'b1dc33d557c4d3c9db80ac12762f5b9f'}}, 'team_id': '1376672835724120145', 'membership_state': 2, 'role': 'admin', 'permissions': ['*']}]}, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-28 10:51:39] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-28 10:51:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-7h9z",{"micros":0.0}]']}}
[2025-05-28 10:51:39] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-28 10:51:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
